researcher name,grant start years,paper1,paper2,paper3,paper4,paper5,paper6
Richard Hugh Frost Bender,[2012],,,,,,
Arkadiusz Piatrowski,[2009],,,,,,
Nicole Johnson Ullrich,"[2011, 2013]",,,,,,
Robert Allaway,"[2014, 2016]",,,,,,
Stephanie Joy Bouley,[2016],,,,,,
Sheila Alcantara Llaguno,[2007],10.1016_j.ccr.2008.12.006.txt,,,,,
Pamela Vanderzalm,[2012],,,,,,
Shuning He,[2013],10.7554_eLife.14713.txt,,,,,
Andrea Rasola,[2016],10.3389_fonc.2017.00058.txt,,,,,
Joshua Rubin,"[2006, 2008]",10.1093_neuonc_nor080.txt,10.1093_neuonc_nor080.txt,,,,
David A Largaespada,"[2010, 2011, 2014, 2015]",10.1038_ng.2641.txt,10.1038_ng.2641.txt,,,,
Kyle Brandon Williams,[2017],,,,,,
Mark Philips,[2009],,,,,,
Antonio Chiesi,"[2013, 2014]",,,,,,
Angela Waanders,[2015],,,,,,
Joanna Phillips,[2015],,,,,,
Geoffrey Kilili,[2007],"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,,
Timmy Mani,[2008],"10.1128_MCB.00248-09.txt , 10.1128_MCB.00609-10.txt",,,,,
Gareth Evans,[2009],"10.1158_1078-0432.CCR-08-3011.txt , 10.1002_ajmg.a.33189.txt , 10.1136_jmg.2010.081760.txt , 10.1186_2045-3329-2-17.txt , 10.1002_ajmg.a.34376.txt , 10.1002_ajmg.a.34359.txt , 10.1007_s00401-011-0905-0.txt , 10.1038_ng.2552.txt , 10.1002_ajmg.a.35760.txt , 10.18632_oncotarget.1609.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1212_WNL.0000000000000997.txt , 10.1002_path.4427.txt , 10.1007_s10803-014-2321-5.txt , 10.1002_ajmg.a.36793.txt , 10.1212_WNL.0000000000002929.txt , 10.1212_WNL.0000000000002933.txt , 10.1212_WNL.0000000000002932.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt",,,,,
Jeff Gehlhausen,[2012],10.1002_ajmg.a.36312.txt,,,,,
Kate Quinlan,[2013],10.1002_ajmg.a.36754.txt,,,,,
Allen Belzberg,"[2009, 2012, 2015]",,,,,,
Margaret Wallace,"[2008, 2010, 2010, 2013, 2015]","10.4161_cbt.10.8.12878.txt , 10.1111_j.1349-7006.2010.01616.x.txt , 10.1038_ng.2641.txt , 10.18632_oncotarget.1609.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.7554_eLife.23966.txt , 10.1002_ajmg.a.38239.txt","10.4161_cbt.10.8.12878.txt , 10.1111_j.1349-7006.2010.01616.x.txt , 10.1038_ng.2641.txt , 10.18632_oncotarget.1609.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.7554_eLife.23966.txt , 10.1002_ajmg.a.38239.txt","10.4161_cbt.10.8.12878.txt , 10.1111_j.1349-7006.2010.01616.x.txt , 10.1038_ng.2641.txt , 10.18632_oncotarget.1609.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.7554_eLife.23966.txt , 10.1002_ajmg.a.38239.txt","10.1038_ng.2641.txt , 10.18632_oncotarget.1609.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.7554_eLife.23966.txt , 10.1002_ajmg.a.38239.txt","10.7554_eLife.23966.txt , 10.1002_ajmg.a.38239.txt",
Wei Mo,[2013],"10.1158_0008-5472.CAN-13-1934.txt , 10.1016_j.ccell.2014.09.009.txt , 10.1016_j.celrep.2013.12.001.txt",,,,,
Gordon Harris,"[2011, 2015, 2015]","10.1002_ajmg.a.34359.txt , 10.1038_bjc.2016.354.txt",10.1038_bjc.2016.354.txt,10.1038_bjc.2016.354.txt,,,
Scott R Plotkin,[2011],,,,,,
David F Wiemer,[2011],,,,,,
Aaron Schindeler,"[2008, 2013]","10.1002_ajmg.a.33045.txt , 10.1007_s11832-010-0293-3.txt , 10.1002_ajmg.a.33189.txt , 10.1186_1471-2474-11-105.txt , 10.1016_j.bone.2011.09.043.txt , 10.1002_jbmr.528.txt , 10.1093_hmg_ddt515.txt , 10.1002_ajmg.a.36754.txt , 10.1002_jor.22628.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.ymgme.2018.02.009.txt","10.1093_hmg_ddt515.txt , 10.1002_ajmg.a.36754.txt , 10.1002_jor.22628.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.ymgme.2018.02.009.txt",,,,
Weixi Wang,[2007],"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,,
Jeong-Soo Lee,[2006],"10.1073_pnas.0901932106.txt , 10.1016_j.ccr.2012.02.010.txt , 10.1242_dmm.009779.txt",,,,,
Huarui Zheng,[2008],10.1016_j.ccr.2008.01.002.txt,,,,,
Gena Heidary,[2017],,,,,,
Lu Zhou,[2013],10.1016_j.ccr.2014.05.001.txt,,,,,
Frances Hannan,[2007],,,,,,
Michael Brownstein,[2014],,,,,,
Jill Weimer,"[2015, 2015]",,,,,,
Amish Patel,[2012],,,,,,
Bakhos Tannous,[2008],,,,,,
