grant number,researcher,grant start year,paper ID
2011-15-014,Bradley D Welling,2011,
2014-18-001E,Bradley Welling,2014,"10.1093_neuonc_now032.txt , 10.1212_WNL.0000000000002933.txt"
2007-01-B,Brian Schmutzler,2007,
2012-10-001,Bruce Korf,2012,"10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.36312.txt , 10.1002_pbc.24873.txt , 10.1212_WNL.0000000000000997.txt , 10.1002_ajmg.a.37089.txt , 10.1002_humu.22832.txt , 10.1212_WNL.0000000000002932.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.37723.txt , 10.1371_journal.pone.0178639.txt , 10.1002_ajmg.a.38239.txt"
2014-10-008,Bruce Korf, 2015,"10.1002_ajmg.a.37089.txt , 10.1002_humu.22832.txt , 10.1212_WNL.0000000000002932.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.37723.txt , 10.1371_journal.pone.0178639.txt , 10.1002_ajmg.a.38239.txt"
2013A-05-007,Charles Yates,2013,10.1002_ajmg.a.36754.txt
2006-01-B,Chengkai Dai,2006,"10.1016_j.cell.2007.07.020.txt , 10.1172_JCI62727.txt"
2013-01-024,Christine Chaisson MacKenzie,2013,
2013-01-015,Christine Kivlin,2013,
2012A-05-002,Christopher Maxwell,2012,
2009-01-025,Chunling Yi,2009,"10.1101_gad.1938710.txt , 10.1101_gad.1964810.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1007_s00401-011-0905-0.txt , 10.1126_scisignal.2004060.txt , 10.1038_bjc.2016.354.txt"
2014-01-018,Claire Malone,2014,
2006-01-C,Cory Johannessen,2006,
2007-05-B,Cristina Fernandez-Valle,2007,"10.1523_JNEUROSCI.6207-11.2012.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt"
2011A-05-009,Cristina Fernandez-Valle, 2011,"10.1523_JNEUROSCI.6207-11.2012.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt"
2013A-05-003,Cristina Fernandez-Valle, 2013,"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt"
2014-18-001F,Cristina Fernandez-Valle, 2014,"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt"
2015-04-010,Cristina Fernandez-Valle, 2015,
2010-10-010,Cynthia M Hingtgen,2011,10.1016_S1470-2045(12)70414-X.txt
2010A-05-006,David A Largaespada,2010,10.1038_ng.2641.txt
2011A-05-005,David A Largaespada, 2011,10.1038_ng.2641.txt
2014A-05-020,David A Largaespada, 2014,
2015-18-003A,David A Largaespada, 2015,
2011A-05-007,David F Wiemer,2011,
2008-15-D,David H Gutmann,2008,10.1038_nn.3348.txt
2015-18-004A,David H Gutmann, 2015,
2016-10-006,David H Viskochil,2017,
2011B-05-005,David Little,2011,10.1002_ajmg.a.36312.txt
2015-18-002B,David Meyerholz,2015,
2007-05-X,David Wiemer,2007,
2008-05-F,David Wiemer, 2008,
2015-18-002D,Dawn E Quelle,2015,
2015-01-009,Dipak N Patil,2015,
2007-05-C,Emmanuelle Di Tomaso,2007,"10.1056_NEJMoa0902579.txt , 10.1158_0008-5472.CAN-09-3107.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1593_neo.111600.txt , 10.1038_bjc.2016.354.txt"
2013-10-008,Eric Legius,2013,"10.1371_journal.pgen.1003958.txt , 10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1186_gb-2014-15-6-r80.txt , 10.1007_s10803-014-2321-5.txt , 10.1002_ajmg.a.36793.txt , 10.1002_humu.22832.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ajhg.2017.12.001.txt"
2006-01-F,Ernesto Diaz-Flores,2006,"10.1101_gad.1587907.txt , 10.1126_scisignal.2004125.txt"
2012A-05-009,Filippo Giancotti,2012,"10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1002_ajmg.a.38239.txt"
2008-05-C,Florent Elefteriou,2008,"10.1002_ajmg.a.33045.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.bone.2014.06.012.txt , 10.1038_nm.3583.txt , 10.1002_jbmr.2316.txt , 10.1093_hmg_ddv019.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.37723.txt"
